okr_num,cur_num
KH0001,"LL01, UR176"
KH0002,AS001
KH0003,AS002
KH0004,AS003
KH0005,AS004
KH0006,AS005
KH0007,AS006
KH0008,AS007
KH0009,AS008
KH0010,AS009
KH0011,AS010
KH0012,AS011
KH0013,AS012
KH0014,AS013
KH0015,AS014
KH0016,AS015
KH0017,AS016
KH0018,AS017
KH0019,AS018
KH0020,AS019
KH0021,AS020
KH0022,AS021
KH0023,AS022
KH0024,AS023
KH0025,AS024
KH0026,AS025
KH0027,AS026A
KH0028,AS026B
KH0029,AS027
KH0030,AS028
KH0031,AS029
KH0032,"AS030, UR043"
KH0033,"AS031, UR1031, UR044"
KH0034,"AS032, UR1032"
KH0035,"AS033A, UR1033A"
KH0036,"AS033B, UR1033B"
KH0037,"AS033C, UR1033C"
KH0038,"AS033D, UR1033D"
KH0039,"AS033E, UR1033E"
KH0040,"AS033F, UR1033F"
KH0041,"AS033G, UR1033G"
KH0042,"AS034, UR1034"
KH0043,AS35A
KH0044,AS35B
KH0045,AS035C
KH0046,AS035D
KH0047,AS036
KH0048,AS037
KH0049,"AS038, HP036"
KH0050,AS039
KH0051,"AS040, UR1040"
KH0052,AS041
KH0053,AS042
KH0054,AS043
KH0055,AS044
KH0056,AS045
KH0057,"AS046, HP041"
KH0058,"AS047, HP035"
KH0059,AS048
KH0060,"AS049, UR1049"
KH0061,AS050
KH0062,"AS051, UR1051"
KH0063,"AS052, UR1052"
KH0064,"AS053, UR1053"
KH0065,AS054
KH0066,AS055
KH0067,"AS056, UR163"
KH0068,"AS057, UR1057"
KH0069,"AS058, UR1058"
KH0070,AS059
KH0071,AS060
KH0072,AS061/MA036
KH0073,AS062
KH0074,AS063
KH0075,AS063B
KH0076,AS064
KH0077,AS065
KH0078,AS065B
KH0079,AS066
KH0080,AS067/MA029
KH0081,"AS068, UR281"
KH0082,AS069
KH0083,"AS070, UR035"
KH0084,AS071
KH0085,AS072
KH0086,AS073
KH0087,AS074
KH0088,AS075
KH0089,AS076
KH0090,AS077
KH0091,AS078
KH0092,AS079
KH0093,AS080
KH0094,AS081
KH0095,AS082
KH0096,AS083
KH0097,"AS084, UR1084"
KH0098,AS085
KH0099,AS086
KH0100,"AS087/N03, UR1087"
KH0101,"AS088/N06, UR1088"
KH0102,AS089
KH0103,AS090/N2
KH0104,"AS091, UR1091"
KH0105,AS092
KH0106,AS093
KH0107,AS094
KH0108,"AS095/N04, UR1095"
KH0109,"AS096, UR1096"
KH0110,"AS097, UR1097"
KH0111,"AS098, UR1098"
KH0112,"AS099, UR1099"
KH0113,"AS100, UR1100"
KH0114,AS101 - Part 1
KH0115,AS101 - Part 2
KH0116,"AS102, UR1102"
KH0117,"AS103/N12, UR1103"
KH0118,"AS104/N11, UR1104, UR224"
KH0119,"AS105/N16, UR1105"
KH0120,"AS106, UR1106"
KH0121,"AS107, UR1107"
KH0122,"AS108, UR1108"
KH0123,"AS109, UR1109"
KH0124,AS110
KH0125,AS111
KH0126,AS112
KH0127,"AS113, UR1113"
KH0128,"AS114, UR1114"
KH0129,AS115
KH0130,"AS116, UR1116"
KH0131,"AS117, UR1117"
KH0132,"AS118, UR1118"
KH0133,"AS119, UR1119"
KH0134,"AS120, UR1120"
KH0135,"AS121, UR1121"
KH0136,AS122
KH0137,"AS123, UR1123"
KH0138,"AS124, UR1124"
KH0139,"AS124 Detail 1, UR1124 Detail 1"
KH0140,AS125
KH0141,"AS126, UR1126"
KH0142,"AS127, UR1127"
KH0143,AS128
KH0144,AS129
KH0145,"AS130, UR1130"
KH0146,AS130 B
KH0147,"AS131, UR1131"
KH0148,AS132
KH0149,AS133
KH0150,AS134
KH0151,"AS135, UR1135"
KH0152,"AS136, UR1136"
KH0153,AS137
KH0154,"AS138, UR1138"
KH0155,AS139
KH0156,"AS140/N09, UR1140"
KH0157,"AS141, UR1141"
KH0158,AS142
KH0159,"AS143, UR1143"
KH0160,"AS144, UR1144"
KH0161,"AS145, UR1145"
KH0162,"AS146/N10, UR1146"
KH0163,"AS147, UR1147"
KH0164,"AS148, UR1148"
KH0165,"AS149, UR1149"
KH0166,"AS150, UR1150"
KH0167,"AS151, UR1151"
KH0168,"AS152, UR1152"
KH0169,AS153
KH0170,"AS154, UR1154"
KH0171,AS155
KH0172,AS156
KH0173,AS157
KH0174,AS158
KH0175,AS159
KH0176,AS160
KH0177,"AS161, UR1161"
KH0178,"AS162(A), UR1162A"
KH0179,"AS162(B), UR1162B"
KH0180,"AS163, UR1163"
KH0181,AS164
KH0182,"AS165, UR1165"
KH0183,"AS166, UR1166"
KH0184,"AS167/N15, UR1167"
KH0185,AS168
KH0186,AS169
KH0187,AS170
KH0188,AS171
KH0189,AS172
KH0190,AS173
KH0191,AS174
KH0192,"AS175, UR1175"
KH0193,"AS176, UR1176"
KH0194,AS177
KH0195,AS178
KH0196,"AS179, UR1179"
KH0197,"AS180, UR1180"
KH0198,"AS181, UR236"
KH0199,AS182
KH0200,AS182B
KH0201,AS183
KH0202,AS184
KH0203,AS185
KH0204,AS186
KH0205,AS187
KH0206,AS188
KH0207,AS189
KH0208,AS190
KH0209,AS191
KH0210,AS192
KH0211,AS193
KH0212,AS194
KH0213,AS195
KH0214,AS196
KH0215,AS197
KH0216,AS198
KH0217,AS199
KH0218,AS200
KH0219,AS201
KH0220,AS202
KH0221,AS203
KH0222,AS204
KH0223,AS205
KH0224,AS206
KH0225,AS207A
KH0226,AS207B
KH0227,AS207C
KH0228,"AS208, UR083"
KH0229,AS209
KH0230,AS210
KH0231,AS211
KH0232,AS212
KH0233,AS213
KH0234,AS214
KH0235,AS215
KH0236,AS215F
KH0237,UR001
KH0238,UR002
KH0239,UR003
KH0240,UR004
KH0241,UR005
KH0242,UR006
KH0243,UR007
KH0244,UR008
KH0245,UR009
KH0246,UR010
KH0247,UR011
KH0248,UR012
KH0249,UR013
KH0250,UR014
KH0251,UR015
KH0252,UR016
KH0253,UR017
KH0254,UR018
KH0255,UR019
KH0256,UR020
KH0257,UR021
KH0258,UR022
KH0259,UR023
KH0260,UR024
KH0261,UR026
KH0262,UR027
KH0263,UR028
KH0264,UR029
KH0265,UR032
KH0266,UR033
KH0267,UR034
KH0268,"UR036, UR133"
KH0269,UR037
KH0270,UR038
KH0271,UR039
KH0272,UR040
KH0273,UR041
KH0274,UR042
KH0275,UR045
KH0276,UR046
KH0277,UR047
KH0278,UR048
KH0279,UR049
KH0280,UR050
KH0281,UR051
KH0282,UR052
KH0283,UR053A
KH0284,UR053B
KH0285,UR053C
KH0286,UR053D
KH0287,UR053E
KH0288,UR054
KH0289,UR055
KH0290,UR056A
KH0291,UR056B
KH0292,UR056C
KH0293,UR057
KH0294,UR058A
KH0295,UR058B
KH0296,UR059
KH0297,UR060
KH0298,UR061
KH0299,UR062
KH0300,UR063
KH0301,UR064
KH0302,UR065
KH0303,UR066
KH0304,UR067
KH0305,UR068
KH0306,UR069
KH0307,UR070
KH0308,UR071
KH0309,UR072
KH0310,UR073
KH0311,UR074
KH0312,UR075
KH0313,UR076
KH0314,UR077
KH0315,UR078
KH0316,UR079
KH0317,UR080
KH0318,UR081
KH0319,UR082
KH0320,UR084
KH0321,UR085
KH0322,UR086
KH0323,UR087
KH0324,UR088
KH0325,UR089
KH0326,UR090
KH0327,UR091
KH0328,UR092
KH0329,UR093
KH0330,UR094
KH0331,UR095
KH0332,UR096
KH0333,UR097
KH0334,UR098
KH0335,UR099
KH0336,UR100
KH0337,UR101
KH0338,UR102
KH0339,UR103
KH0340,UR104
KH0341,UR105
KH0342,UR106
KH0343,UR107
KH0344,UR108
KH0345,UR109
KH0346,UR110
KH0347,UR111
KH0348,UR112
KH0349,UR113
KH0350,UR114
KH0351,"UR115, UR126"
KH0352,UR116A
KH0353,UR116B
KH0354,UR117A
KH0355,UR117B
KH0356,UR117C
KH0357,UR117D
KH0358,UR118
KH0359,UR119
KH0360,UR120
KH0361,UR121
KH0362,UR122
KH0363,UR123
KH0364,UR124
KH0365,UR125
KH0366,UR127
KH0367,UR128
KH0368,UR129
KH0369,UR130
KH0370,UR131A
KH0371,UR131B
KH0372,UR131C
KH0373,UR132
KH0374,UR134
KH0375,UR135
KH0376,UR136
KH0377,UR137
KH0378,UR138
KH0379,UR139
KH0380,UR140
KH0381,UR141
KH0382,UR142
KH0383,UR143
KH0384,UR144
KH0385,UR145
KH0386,UR146
KH0387,UR147
KH0388,UR148
KH0389,UR149
KH0390,UR150
KH0391,UR151
KH0392,UR152
KH0393,UR153
KH0394,UR154
KH0395,UR155
KH0396,UR156
KH0397,UR157
KH0398,UR158
KH0399,UR159
KH0400,UR160
KH0401,UR161
KH0402,UR162
KH0403,UR164
KH0404,UR165
KH0405,UR166
KH0406,UR167
KH0407,UR168
KH0408,UR169
KH0409,UR170
KH0410,UR171
KH0411,UR172
KH0412,UR173
KH0413,UR174
KH0414,UR175
KH0415,UR177
KH0416,UR178
KH0417,UR179
KH0418,UR180
KH0419,UR181
KH0420,UR182
KH0421,UR183
KH0422,UR184
KH0423,UR185
KH0424,UR186
KH0425,UR187
KH0426,UR188
KH0427,Ur189
KH0428,UR190
KH0429,UR191
KH0430,UR192
KH0431,UR193
KH0432,UR194
KH0433,UR195
KH0434,UR196
KH0435,UR197
KH0436,UR198
KH0437,UR199
KH0438,UR200
KH0439,UR201
KH0440,UR202
KH0441,UR203
KH0442,UR204
KH0443,UR205
KH0444,UR206
KH0445,UR207
KH0446,UR208
KH0447,UR209
KH0448,UR210
KH0449,UR211
KH0450,UR212
KH0451,UR213
KH0452,UR214
KH0453,UR215
KH0454,UR216
KH0455,UR217
KH0456,UR218
KH0457,UR219
KH0458,UR220
KH0459,UR221
KH0460,UR222
KH0461,UR223
KH0462,UR225
KH0463,UR226
KH0464,UR227
KH0465,UR228
KH0466,UR229
KH0467,UR230
KH0468,UR231
KH0469,UR232
KH0470,UR233
KH0471,UR234
KH0472,UR235
KH0473,UR237
KH0474,UR238
KH0475,UR239
KH0476,UR240
KH0477,UR241
KH0478,UR242
KH0479,UR243
KH0480,UR244
KH0481,UR245
KH0482,UR246
KH0483,UR247
KH0484,UR248
KH0485,UR249
KH0486,UR250
KH0487,UR251
KH0488,UR252
KH0489,UR253
KH0490,UR254
KH0491,UR255
KH0492,UR256
KH0493,UR257
KH0494,UR258
KH0495,UR259
KH0496,UR260
KH0497,UR261
KH0498,UR262
KH0499,UR263
KH0500,UR264
KH0501,UR265
KH0502,UR266
KH0503,UR267A
KH0504,UR267B
KH0505,UR268
KH0506,UR269
KH0507,UR270
KH0508,UR271
KH0509,UR272
KH0510,UR273A
KH0511,UR273B
KH0512,UR274A
KH0513,UR274B
KH0514,UR275
KH0515,UR276
KH0516,UR277
KH0517,UR278
KH0518,UR279
KH0519,UR280
KH0520,UR282
KH0521,UR283
KH0522,UR284
KH0523,UR285
KH0524,UR286
KH0525,UR287
KH0526,UR288
KH0527,UR289
KH0528,UR290
KH0529,UR291A
KH0530,UR292A
KH0531,UR293
KH0532,UR294
KH0533,HP001
KH0534,HP002
KH0535,HP003
KH0536,HP004
KH0537,HP005
KH0538,HP006
KH0539,HP007
KH0540,HP008
KH0541,HP009
KH0542,HP010
KH0543,HP011
KH0544,HP012
KH0545,HP013
KH0546,HP014
KH0547,HP015
KH0548,HP016
KH0549,HP017
KH0550,HP018
KH0551,HP019
KH0552,HP020
KH0553,HP021
KH0554,HP022
KH0555,HP023
KH0556,HP024
KH0557,HP025
KH0558,HP026
KH0559,HP027
KH0560,HP028
KH0561,HP029
KH0562,HP030
KH0563,HP031
KH0564,HP032
KH0565,HP033
KH0566,HP034
KH0567,HP037
KH0568,HP038
KH0569,HP039
KH0570,HP040
KH0571,HP042
KH0572,HP043
KH0573,HP044
KH0574,HP045
KH0575,HP046 A
KH0576,HP046 B
KH0577,HP047
KH0578,HP048
KH0579,HP049
KH0580,HP050
KH0581,HP051 A
KH0582,HP051 B
KH0583,HP052
KH0584,HP053
KH0585,HP054
KH0586,HP055
KH0587,HP056
KH0588,HP057
KH0589,QU01
KH0590,QU02
KH0591,QU03
KH0592,QU04
KH0593,QU05
KH0594,QU06
KH0595,QU07
KH0596,QU08
KH0597,QU09
KH0598,QU10
KH0599,QU11
KH0600,QU12
KH0601,QU13
KH0602,QU14
KH0603,QU15
KH0604,QU16
KH0605,QU17
KH0606,QU18
KH0607,QU19
KH0608,JC001
KH0609,JC002
KH0610,JC003
KH0611,JC004
KH0612,JC005
KH0613,JC006
KH0614,JC007
KH0615,JC008
KH0616,JC009
KH0617,JC010
KH0618,JC011
KH0619,JC012
KH0620,JC013
KH0621,JC014
KH0622,JC015
KH0623,JC016
KH0624,JC017
KH0625,JC018
KH0626,JC019
KH0627,JC020
KH0628,JC021
KH0629,JC022
KH0630,JC023
